ethnicity,collected_tests,accessioned_tests,released_tests,valid_tests,opened_tests,positive_tests,positive_rate,inconclusive_tests,pct_released_inconclusive
Latino/a,377,376,376,373,351,92,0.246648794,0,0
White,45,44,44,44,43,1,0.022727273,0,0
Asian,41,40,40,40,40,0,0,0,0
Filipino,26,26,26,26,26,0,0,0,0
African American / Black,10,10,10,10,8,0,0,0,0
Other,8,8,8,8,8,1,0.125,0,0
Vietnamese,15,14,14,14,14,0,0,0,0
Samoan,1,0,0,0,0,0,0,0,0
Japanese,6,6,6,6,6,0,0,0,0
Chinese,3,3,3,3,3,0,0,0,0
Middle Eastern,1,1,1,1,1,1,1,0,0
Native Hawaiian or Other Pacific Islander (NHOP),1,1,1,1,1,0,0,0,0
Cambodian,1,1,1,1,1,0,0,0,0
Native American,3,3,3,3,3,0,0,0,0
Laotian,1,1,1,1,1,0,0,0,0
